




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
PLAINFIELD PCT 007            1900                          1329                          69.95%
PLAINFIELD PCT 008            1649                          1364                          82.72%
PLAINFIELD PCT 009            1906                          1416                          74.29%
PLAINFIELD PCT 010            1236                          932                           75.40%
PLAINFIELD PCT 011            781                           519                           66.45%
PLAINFIELD PCT 012            1609                          1190                          73.96%
PLAINFIELD PCT 013            2617                          2087                          79.75%
PLAINFIELD PCT 014            1924                          1497                          77.81%
PLAINFIELD PCT 015            1974                          1547                          78.37%
PLAINFIELD PCT 016            1735                          1336                          77.00%
PLAINFIELD PCT 017            1655                          1130                          68.28%
PLAINFIELD PCT 018            1235                          936                           75.79%
PLAINFIELD PCT 019            1799                          1340                          74.49%
PLAINFIELD PCT 020            1748                          1283                          73.40%
PLAINFIELD PCT 021            1203                          881                           73.23%
PLAINFIELD PCT 022            1057                          781                           73.89%
PLAINFIELD PCT 023            1087                          797                           73.32%
PLAINFIELD PCT 024            1187                          934                           78.69%
PLAINFIELD PCT 025            1704                          1216                          71.36%
PLAINFIELD PCT 026            2036                          1470                          72.20%
PLAINFIELD PCT 027            1229                          925                           75.26%
PLAINFIELD PCT 028            1481                          1111                          75.02%
PLAINFIELD PCT 029            1312                          991                           75.53%
PLAINFIELD PCT 030            1270                          962                           75.75%
PLAINFIELD PCT 031            1306                          985                           75.42%
PLAINFIELD PCT 032            1263                          909                           71.97%
PLAINFIELD PCT 033            1348                          996                           73.89%
PLAINFIELD PCT 034            1418                          1022                          72.07%
PLAINFIELD PCT 035            1396                          1015                          72.71%
REED PCT 001                  1467                          1104                          75.26%
REED PCT 002                  1652                          1230                          74.46%
REED PCT 003                  1503                          1145                          76.18%
TROY PCT 001                  2759                          1932                          70.03%
TROY PCT 002                  1775                          1221                          68.79%
TROY PCT 003                  1220                          950                           77.87%
TROY PCT 004                  1193                          945                           79.21%
TROY PCT 005                  1080                          853                           78.98%
TROY PCT 006                  898                           636                           70.82%
TROY PCT 007                  2059                          1577                          76.59%
TROY PCT 008                  2002                          1559                          77.87%
TROY PCT 009                  1235                          959                           77.65%
TROY PCT 010                  1704                          1256                          73.71%
TROY PCT 011                  1539                          1199                          77.91%
TROY PCT 012                  862                           650                           75.41%
TROY PCT 013                  1811                          1521                          83.99%
TROY PCT 014                  1898                          1531                          80.66%
TROY PCT 015                  1257                          983                           78.20%
TROY PCT 016                  1850                          1331                          71.95%
TROY PCT 017                  1636                          1319                          80.62%
TROY PCT 018                  1525                          1086                          71.21%
TROY PCT 019                  1768                          1253                          70.87%
TROY PCT 020                  1636                          1267                          77.44%
TROY PCT 021                  1701                          1367                          80.36%
TROY PCT 022                  666                           537                           80.63%
WASHINGTON PCT 001            1364                          1050                          76.98%
WASHINGTON PCT 002            1682                          1356                          80.62%
WASHINGTON PCT 003            1249                          986                           78.94%
WESLEY PCT 001                1456                          1165                          80.01%
WHEATLAND PCT 001             1253                          956                           76.30%
WHEATLAND PCT 002             2066                          1739                          84.17%
WHEATLAND PCT 003             1730                          1290                          74.57%
WHEATLAND PCT 004             1997                          1366                          68.40%
WHEATLAND PCT 005             1804                          1392                          77.16%
WHEATLAND PCT 006             1297                          1056                          81.42%
WHEATLAND PCT 007             1337                          1086                          81.23%
WHEATLAND PCT 008             1323                          1070                          80.88%
WHEATLAND PCT 009             1537                          1237                          80.48%
WHEATLAND PCT 010             1365                          1105                          80.95%
WHEATLAND PCT 011             1747                          1327                          75.96%
WHEATLAND PCT 012             1684                          1188                          70.55%
WHEATLAND PCT 013             1319                          1033                          78.32%
WHEATLAND PCT 014             1556                          1228                          78.92%
WHEATLAND PCT 015             1533                          1166                          76.06%
WHEATLAND PCT 016             1560                          1207                          77.37%
WHEATLAND PCT 017             1035                          775                           74.88%
WHEATLAND PCT 018             1509                          1181                          78.26%
WHEATLAND PCT 019             1127                          855                           75.87%
WHEATLAND PCT 020             1303                          950                           72.91%
WHEATLAND PCT 021             1353                          1061                          78.42%
WHEATLAND PCT 022             1849                          1442                          77.99%
WHEATLAND PCT 023             1821                          1397                          76.72%
WHEATLAND PCT 024             1898                          1430                          75.34%
WHEATLAND PCT 025             1686                          1278                          75.80%
WHEATLAND PCT 026             2137                          1646                          77.02%
WHEATLAND PCT 027             1136                          885                           77.90%
WHEATLAND PCT 028             1917                          1510                          78.77%
WHEATLAND PCT 029             1767                          1412                          79.91%
WHEATLAND PCT 030             1760                          1382                          78.52%
WHEATLAND PCT 031             1378                          1005                          72.93%
WHEATLAND PCT 032             1752                          1313                          74.94%
WHEATLAND PCT 033             1653                          1195                          72.29%
WHEATLAND PCT 034             1362                          1042                          76.51%
WHEATLAND PCT 035             1067                          830                           77.79%
WHEATLAND PCT 036             1425                          1146                          80.42%
WHEATLAND PCT 037             1427                          1033                          72.39%
WHEATLAND PCT 038             1162                          874                           75.22%
WILL PCT 001                  1134                          924                           81.48%
WILMINGTON PCT 001            1348                          999                           74.11%
WILMINGTON PCT 002            1112                          816                           73.38%
WILMINGTON PCT 003            1320                          1013                          76.74%
WILTON PCT 001                588                           490                           83.33%
Total:                        441483                        331367                        75.06%

                                                                                                                                         ADVISORY QUESTION IN REGARD TO CANDIDATES INTERFERING WITH ELECTION WORKER'S OFFICIAL DUTIES (Vote For 1)
                                                            YES                                                                                                                     NO                                                                                                                      
Precinct                      Registered Voters             Vote by Mail                  Early Voting                  Election Day                  Choice Total                  Vote by Mail                  Early Voting                  Election Day                  Choice Total                  Total                         
CHANNAHON PCT 001             1407                          128                           344                           434                           906                           11                            100                           99                            210                           1116                          
CHANNAHON PCT 002             1790                          184                           389                           591                           1164                          18                            127                           104                           249                           1413                          
CHANNAHON PCT 003             1538                          149                           303                           452                           904                           15                            101                           101                           217                           1121                          
CHANNAHON PCT 004             1224                          86                            242                           466                           794                           9                             69                            98                            176                           970                           
CHANNAHON PCT 005             1591                          123                           294                           575                           992                           12                            63                            98                            173                           1165                          
CRETE PCT 001                 1253                          88                            200                           389                           677                           8                             20                            57                            85                            762                           
CRETE PCT 002                 1368                          111                           186                           395                           692                           4                             31                            47                            82                            774                           
CRETE PCT 003                 1292                          128                           258                           344                           730                           5                             40                            48                            93                            823                           
CRETE PCT 004                 1283                          160                           289                           378                           827                           6                             53                            46                            105                           932                           
CRETE PCT 005                 1303                          137                           309                           376                           822                           6                             20                            67                            93                            915                           
CRETE PCT 006                 1268                          163                           285                           344                           792                           9                             44                            55                            108                           900                           
CRETE PCT 007                 1206                          147                           262                           394                           803                           13                            33                            40                            86                            889                           
CRETE PCT 008                 1364                          119                           297                           429                           845                           5                             41                            63                            109                           954                           
CRETE PCT 009                 1213                          118                           247                           361                           726                           10                            50                            37                            97                            823                           
CRETE PCT 010                 1020                          98                            146                           299                           543                           12                            30                            49                            91                            634                           
CRETE PCT 011                 1068                          108                           212                           322                           642                           7                             46                            74                            127                           769                           
CRETE PCT 012                 1019                          79                            203                           336                           618                           7                             51                            63                            121                           739                           
CUSTER PCT 001                930                           87                            117                           383                           587                           6                             32                            107                           145                           732                           
DUPAGE PCT 001                1620                          205                           361                           484                           1050                          19                            78                            85                            182                           1232                          
DUPAGE PCT 002                1406                          230                           360                           372                           962                           12                            69                            48                            129                           1091                          
DUPAGE PCT 003                1483                          230                           414                           367                           1011                          19                            77                            49                            145                           1156                          
DUPAGE PCT 004                1280                          156                           330                           319                           805                           18                            47                            45                            110                           915                           
DUPAGE PCT 005                1089                          135                           281                           304                           720                           7                             40                            48                            95                            815                           
DUPAGE PCT 006                1148                          140                           350                           291                           781                           7                             32                            40                            79                            860                           
DUPAGE PCT 007                1339                          218                           281                           378                           877                           20                            75                            70                            165                           1042                          
DUPAGE PCT 008                1295                          99                            303                           353                           755                           8                             40                            52                            100                           855                           
DUPAGE PCT 009                1134                          131                           301                           270                           702                           4                             58                            40                            102                           804                           
DUPAGE PCT 010                1637                          180                           448                           355                           983                           13                            48                            58                            119                           1102                          
DUPAGE PCT 011                1397                          133                           415                           340                           888                           5                             54                            46                            105                           993                           
DUPAGE PCT 012                1248                          185                           285                           322                           792                           6                             37                            51                            94                            886                           
DUPAGE PCT 013                1629                          170                           365                           398                           933                           12                            52                            63                            127                           1060                          
DUPAGE PCT 014                1472                          168                           447                           349                           964                           13                            44                            49                            106                           1070                          
DUPAGE PCT 015                1465                          175                           410                           371                           956                           7                             62                            59                            128                           1084                          
DUPAGE PCT 016                1365                          152                           320                           388                           860                           12                            49                            65                            126                           986                           
DUPAGE PCT 017                1697                          170                           494                           426                           1090                          12                            45                            44                            101                           1191                          
DUPAGE PCT 018                1376                          128                           345                           370                           843                           6                             48                            30                            84                            927                           
DUPAGE PCT 019                1389                          96                            370                           342                           808                           12                            55                            38                            105                           913                           
DUPAGE PCT 020                1265                          113                           291                           291                           695                           4                             35                            45                            84                            779                           
DUPAGE PCT 021                1522                          101                           376                           414                           891                           8                             44                            57                            109                           1000                          
DUPAGE PCT 022                1582                          116                           387                           455                           958                           2                             59                            61                            122                           1080                          
DUPAGE PCT 023                1815                          184                           441                           480                           1105                          9                             57                            58                            124                           1229                          
